;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;3606;601;32.4381578947
1;2;Champagne;774;129;32.3765060241
2;3;Picardie;888;148;32.1785714286
3;4;Haute-Normandie;792;132;31.3008849558
4;5;Centre;1218;203;33.7936507937
5;6;Basse-Normandie;816;136;33.7355371901
6;7;Bourgogne;408;68;32.4644808743
7;8;Nord;1362;227;31.3901192504
8;9;Lorraine;1164;194;31.6340508806
9;10;Alsace;714;119;28.8831168831
10;11;Franche Comté;786;131;31.0474777448
11;12;Pays de la Loire;1350;225;32.8347245409
12;13;Bretagne;1320;220;33.1252086811
13;14;Poitou Charentes;984;164;33.1509846827
14;15;Aquitaine;1464;244;32.4408602151
15;16;Midi-Pyrénées;918;153;32.0314769976
16;17;limousin;264;44;32.725
17;18;Rhône-Alpes;2058;343;32.3206278027
18;19;Auvergne;702;117;31.926984127
19;20;Languedoc;1524;254;31.2772861357
20;21;Provence Côte d'Azur;1362;227;31.6372712146
